drzava,st_dresa,priimek,pozicija,starost,datum_rojstva,visina_cm,tocke_skupaj,tocke_povprecje,tocke_napad,ucinkovitost_napad,napad_povprecje,tocke_blok,uspesnost_blok,blok_povprecje,tocke_servis,uspesnost_servis,servis_povprecje
Argentina,1,Sanchez Pages,Podajalec,29,20/09/1996,175cm,9,0.75,4,50.00%,0.33,0,0.00%,0.00,5,3.76%,0.42
Argentina,2,Conde,Sprejemalec,21,06/10/2004,193cm,0,-,0,-,-,0,-,-,0,-,-
Argentina,3,Martinez Franchi,Sprejemalec,28,28/01/1998,190cm,38,3.17,32,35.96%,2.67,4,23.53%,0.33,2,4.35%,0.17
Argentina,4,Gallego,Srednji bloker,29,21/11/1996,204cm,26,2.17,18,46.15%,1.50,8,16.00%,0.67,0,0.00%,0.00
Argentina,6,Gomez,Korektor,23,19/04/2003,191cm,98,8.17,88,55.00%,7.33,5,10.00%,0.42,5,6.49%,0.42
Argentina,7,Palonsky,Sprejemalec,27,08/07/1999,198cm,34,3.40,34,41.46%,3.40,0,0.00%,0.00,0,0.00%,0.00
Argentina,8,Loser Bruno,Srednji bloker,28,12/10/1997,198cm,60,7.50,38,58.46%,4.75,20,23.53%,2.50,2,2.13%,0.25
Argentina,11,Armoa Morel,Sprejemalec,23,01/12/2002,195cm,127,11.55,108,53.47%,9.82,8,18.18%,0.73,11,8.53%,1.00
Argentina,16,Kukartsev,Korektor,33,25/03/1993,203cm,36,7.20,32,43.84%,6.40,4,19.05%,0.80,0,0.00%,0.00
Argentina,17,Vicentin,Sprejemalec,26,04/04/2000,197cm,185,15.42,157,48.91%,13.08,13,18.57%,1.08,15,7.50%,1.25
Argentina,18,Ramos,Srednji bloker,34,26/08/1991,197cm,33,2.75,25,56.82%,2.08,6,9.68%,0.50,2,3.92%,0.17
Argentina,19,Massimino,Libero,38,23/05/1988,177cm,0,0.00,0,-,-,0,-,-,0,-,-
Argentina,22,Zerba,Srednji bloker,27,13/06/1999,203cm,69,5.75,50,56.18%,4.17,18,18.95%,1.50,1,0.99%,0.08
Argentina,77,Giraudo,Podajalec,28,13/03/1998,196cm,1,0.12,0,-,-,0,0.00%,0.00,1,6.67%,0.12
Argentina,10,Diaz,Sprejemalec,20,11/04/2006,190cm,30,3.00,21,42.00%,2.10,3,21.43%,0.30,6,15.79%,0.60
Argentina,9,Arroyo,Libero,26,10/08/1999,175cm,-,-,-,-,-,-,-,-,-,-,-
Belgija,2,Reggers,Korektor,23,18/07/2003,204cm,268,22.33,246,49.50%,20.50,9,11.69%,0.75,13,8.18%,1.08
Belgija,6,Plaskie,Sprejemalec,25,10/03/2001,193cm,80,6.67,68,44.74%,5.67,1,3.23%,0.08,11,10.58%,0.92
Belgija,8,Fransen,Sprejemalec,23,29/10/2002,202cm,5,0.42,5,45.45%,0.42,0,0.00%,0.00,0,0.00%,0.00
Belgija,9,D'heer,Srednji bloker,25,26/04/2001,203cm,67,5.58,46,61.33%,3.83,20,20.20%,1.67,1,0.92%,0.08
Belgija,11,V. Hoyweghen,Podajalec,25,07/10/2000,198cm,1,0.12,0,0.00%,0.00,1,20.00%,0.12,0,0.00%,0.00
Belgija,12,Rotty,Sprejemalec,25,12/03/2001,190cm,70,6.36,60,40.27%,5.45,9,21.43%,0.82,1,1.37%,0.09
Belgija,13,Verwimp K.,Sprejemalec,21,13/01/2005,181cm,0,0.00,0,-,-,0,-,-,0,0.00%,0.00
Belgija,16,Valkiers,Podajalec,36,08/04/1990,195cm,5,0.42,4,44.44%,0.33,0,0.00%,0.00,1,0.97%,0.08
Belgija,17,Vandecruys,Korektor,20,23/03/2006,198cm,0,0.00,0,-,-,0,-,-,0,0.00%,0.00
Belgija,18,Baetens,Sprejemalec,37,13/02/1989,191cm,20,1.67,15,34.88%,1.25,2,13.33%,0.17,3,5.08%,0.25
Belgija,19,Lantsoght,Libero,20,09/12/2005,186cm,0,0.00,0,-,-,0,-,-,0,-,-
